"Name","Coefficient"
"F_114_cons_dual_max:F_123_cut_abs_viol","-0.241893903645876"
"F_114_cons_dual_max:F_125_cut_eff","23.422796223158"
"F_114_cons_dual_max:F_126_cut_obj_paral","848.247864096256"
"F_114_cons_dual_max:F_129_cut_coefs_max","-122.118784057902"
"F_117_cut_rank:F_120_cut_bias","-0.0271836320443527"
"F_117_cut_rank:F_128_cut_coefs_mean","0.0412892557784934"
"F_118_cut_sup_score:F_123_cut_abs_viol","14.8868653446553"
"F_118_cut_sup_score:F_129_cut_coefs_max","-32.0662722976962"
"F_118_cut_sup_score:F_131_cut_coefs_std","229.229053332821"
"F_119_cut_int_sup_score:F_123_cut_abs_viol","0.000456521336094704"
"F_119_cut_int_sup_score:F_124_cut_rel_viol","0.306047734984915"
"F_119_cut_int_sup_score:F_125_cut_eff","0.808679248333121"
"F_119_cut_int_sup_score:F_132_cut_cons_paral_mean","783.811590514239"
"F_119_cut_int_sup_score:F_135_cut_cons_paral_std","1989.7649681189"
"F_120_cut_bias:F_121_cut_activity","-0.000423296109635489"
"F_120_cut_bias:F_135_cut_cons_paral_std","-18.9986097673892"
"F_123_cut_abs_viol:F_124_cut_rel_viol","-0.0113869697206872"
"F_123_cut_abs_viol:F_125_cut_eff","0.0326436968110396"
"F_123_cut_abs_viol:F_127_cut_exp_imp","-0.376272604410949"
"F_123_cut_abs_viol:F_129_cut_coefs_max","0.00178731136468562"
"F_123_cut_abs_viol:F_133_cut_cons_paral_max","0.00139002504834271"
"F_124_cut_rel_viol:F_128_cut_coefs_mean","-1.30088177365917"
"F_124_cut_rel_viol:F_129_cut_coefs_max","1.52046999506953"
"F_124_cut_rel_viol:F_131_cut_coefs_std","0.427270068961472"
"F_124_cut_rel_viol:F_133_cut_cons_paral_max","0.135966290514961"
"F_125_cut_eff:F_133_cut_cons_paral_max","0.16628791795112"
"F_126_cut_obj_paral:F_127_cut_exp_imp","-6.75207814657853"
"F_126_cut_obj_paral:F_128_cut_coefs_mean","1.35208874758893"
"F_126_cut_obj_paral:F_130_cut_coefs_min","-35.9791877735816"
"F_126_cut_obj_paral:F_131_cut_coefs_std","2.70822251255413"
"F_126_cut_obj_paral:F_133_cut_cons_paral_max","2.06577173194064"
"F_127_cut_exp_imp:F_128_cut_coefs_mean","54.9673987110557"
"F_127_cut_exp_imp:F_131_cut_coefs_std","8.03906344305029"
"F_127_cut_exp_imp:F_133_cut_cons_paral_max","0.8205425165542"
"F_128_cut_coefs_mean:F_129_cut_coefs_max","0.0385866494807015"
"F_128_cut_coefs_mean:F_130_cut_coefs_min","-1.31090007152432"
"F_129_cut_coefs_max:F_130_cut_coefs_min","2.42545589387342"
